CSV,Berlin,Hamburg,Munchen,Koln,Frankfurt,Stuttgart,Dusseldorf,Dortmund,Essen,Bremen,Dresden,Leipzig,Hannover,Nurnberg,Duisburg,Bochum,Wuppertal,Bonn,Bielefeld,Mannheim,Karlsruhe,Munster,Wiesbaden,Augsburg,Aachen,Monchengladbach,Gelsenkirchen,Braunschweig,Chemnitz,Kiel,Krefeld,Halle,Magdeburg,Freiburg,Oberhausen,Lubeck,Erfurt,Rostock,Mainz,Kassel,Hagen,Hamm,Saarbrucken,Mulheim,Herne,Ludwigshafen,Osnabruck,Oldenburg,Leverkusen,Solingen,Potsdam,Neuss,Heidelberg,Paderborn,Darmstadt,Regensburg,Wurzburg,Ingolstadt,Heilbronn,Ulm,Wolfsburg,Gottingen,Offenbach,Pforzheim,Recklinghausen,Bottrop,Furth,Bremerhaven,Reutlingen,Remscheid,Koblenz,Bergisch_Gladbach,Erlangen,Moers,Trier,Jena,Siegen,Hildesheim,Salzgitter,Cottbus,St_Augustine,Baden_Baden,Basel_Switzerland
Pforzheim,663 km: 6 hours 2 mins,646 km: 5 hours 56 mins,270 km: 2 hours 42 mins,323 km: 3 hours 6 mins,164 km: 1 hour 40 mins,52.1 km: 40 mins,365 km: 3 hours 31 mins,373 km: 3 hours 31 mins,382 km: 3 hours 41 mins,594 km: 5 hours 28 mins,545 km: 4 hours 53 mins,507 km: 4 hours 34 mins,504 km: 4 hours 42 mins,240 km: 2 hours 18 mins,382 km: 3 hours 35 mins,386 km: 3 hours 40 mins,365 km: 3 hours 28 mins,303 km: 2 hours 55 mins,467 km: 4 hours 15 mins,89.9 km: 1 hour 0 mins,32.1 km: 30 mins,428 km: 4 hours 1 min,168 km: 1 hour 40 mins,201 km: 2 hours 4 mins,372 km: 3 hours 34 mins,366 km: 3 hours 30 mins,403 km: 3 hours 49 mins,489 km: 4 hours 35 mins,464 km: 4 hours 11 mins,742 km: 6 hours 43 mins,387 km: 3 hours 42 mins,517 km: 4 hours 41 mins,576 km: 5 hours 16 mins,155 km: 1 hour 38 mins,385 km: 3 hours 34 mins,706 km: 6 hours 33 mins,369 km: 3 hours 33 mins,820 km: 7 hours 25 mins,170 km: 1 hour 41 mins,347 km: 3 hours 16 mins,358 km: 3 hours 22 mins,402 km: 3 hours 50 mins,173 km: 2 hours 1 min,374 km: 3 hours 36 mins,392 km: 3 hours 40 mins,91.3 km: 1 hour 1 min,481 km: 4 hours 30 mins,584 km: 5 hours 21 mins,330 km: 3 hours 5 mins,349 km: 3 hours 23 mins,641 km: 5 hours 40 mins,367 km: 3 hours 31 mins,74.6 km: 51 mins,427 km: 3 hours 58 mins,134 km: 1 hour 24 mins,329 km: 3 hours 5 mins,177 km: 1 hour 43 mins,309 km: 2 hours 50 mins,83.7 km: 1 hour 0 mins,129 km: 1 hour 20 mins,518 km: 4 hours 47 mins,386 km: 3 hours 36 mins,166 km: 1 hour 41 mins,NULL,402 km: 3 hours 48 mins,395 km: 3 hours 47 mins,245 km: 2 hours 21 mins,658 km: 6 hours 3 mins,75.7 km: 51 mins,356 km: 3 hours 23 mins,233 km: 2 hours 20 mins,327 km: 3 hours 12 mins,265 km: 2 hours 28 mins,390 km: 3 hours 41 mins,266 km: 2 hours 37 mins,412 km: 3 hours 52 mins,285 km: 2 hours 45 mins,474 km: 4 hours 24 mins,468 km: 4 hours 19 mins,665 km: 5 hours 51 mins,296 km: 2 hours 49 mins,59.9 km: 43 mins,214 km: 2 hours 10 mins
Recklinghausen,507 km: 4 hours 39 mins,338 km: 3 hours 7 mins,634 km: 5 hours 48 mins,98.2 km: 1 hour 6 mins,252 km: 2 hours 30 mins,446 km: 4 hours 16 mins,73.2 km: 53 mins,34.1 km: 30 mins,32.2 km: 33 mins,227 km: 2 hours 10 mins,550 km: 4 hours 59 mins,446 km: 4 hours 4 mins,226 km: 2 hours 7 mins,466 km: 4 hours 25 mins,47.9 km: 35 mins,17.5 km: 22 mins,53.2 km: 39 mins,121 km: 1 hour 18 mins,127 km: 1 hour 15 mins,326 km: 3 hours 8 mins,381 km: 3 hours 39 mins,62.0 km: 42 mins,261 km: 2 hours 29 mins,603 km: 5 hours 34 mins,160 km: 1 hour 44 mins,98.8 km: 1 hour 8 mins,21.2 km: 23 mins,288 km: 2 hours 40 mins,508 km: 4 hours 39 mins,423 km: 3 hours 49 mins,72.7 km: 50 mins,407 km: 3 hours 49 mins,367 km: 3 hours 17 mins,512 km: 4 hours 49 mins,40.6 km: 28 mins,398 km: 3 hours 45 mins,376 km: 3 hours 35 mins,512 km: 4 hours 37 mins,265 km: 2 hours 38 mins,195 km: 1 hour 59 mins,53.7 km: 40 mins,56.3 km: 44 mins,353 km: 3 hours 30 mins,41.3 km: 40 mins,12.2 km: 15 mins,328 km: 3 hours 9 mins,114 km: 1 hour 12 mins,217 km: 2 hours 3 mins,82.6 km: 51 mins,67.6 km: 52 mins,485 km: 4 hours 16 mins,89.3 km: 1 hour 1 min,331 km: 3 hours 10 mins,131 km: 1 hour 28 mins,275 km: 2 hours 42 mins,568 km: 5 hours 16 mins,361 km: 3 hours 24 mins,559 km: 5 hours 7 mins,394 km: 3 hours 43 mins,530 km: 5 hours 0 mins,309 km: 2 hours 48 mins,242 km: 2 hours 23 mins,255 km: 2 hours 32 mins,402 km: 3 hours 51 mins,NULL,25.0 km: 26 mins,459 km: 4 hours 18 mins,291 km: 2 hours 45 mins,476 km: 4 hours 31 mins,60.0 km: 43 mins,202 km: 1 hour 59 mins,84.0 km: 1 hour 5 mins,454 km: 4 hours 12 mins,56.2 km: 41 mins,282 km: 2 hours 54 mins,419 km: 3 hours 54 mins,126 km: 1 hour 21 mins,269 km: 2 hours 29 mins,296 km: 2 hours 43 mins,599 km: 5 hours 15 mins,119 km: 1 hour 16 mins,417 km: 3 hours 54 mins,571 km: 5 hours 21 mins
Bottrop,525 km: 4 hours 45 mins,355 km: 3 hours 19 mins,648 km: 5 hours 56 mins,85.2 km: 1 hour 1 min,263 km: 2 hours 36 mins,440 km: 4 hours 13 mins,49.3 km: 43 mins,45.9 km: 38 mins,12.3 km: 21 mins,243 km: 2 hours 21 mins,568 km: 5 hours 6 mins,463 km: 4 hours 11 mins,243 km: 2 hours 14 mins,479 km: 4 hours 33 mins,23.0 km: 24 mins,29.2 km: 30 mins,64.9 km: 47 mins,108 km: 1 hour 13 mins,144 km: 1 hour 22 mins,320 km: 3 hours 5 mins,375 km: 3 hours 35 mins,78.0 km: 53 mins,248 km: 2 hours 24 mins,595 km: 5 hours 40 mins,139 km: 1 hour 33 mins,77.5 km: 58 mins,13.3 km: 17 mins,305 km: 2 hours 46 mins,525 km: 4 hours 46 mins,439 km: 4 hours 0 mins,51.4 km: 40 mins,425 km: 3 hours 56 mins,385 km: 3 hours 24 mins,505 km: 4 hours 45 mins,13.3 km: 16 mins,414 km: 3 hours 56 mins,394 km: 3 hours 42 mins,528 km: 4 hours 48 mins,252 km: 2 hours 33 mins,212 km: 2 hours 5 mins,70.5 km: 48 mins,73.9 km: 51 mins,340 km: 3 hours 24 mins,22.4 km: 30 mins,23.9 km: 22 mins,321 km: 3 hours 5 mins,130 km: 1 hour 23 mins,233 km: 2 hours 14 mins,69.6 km: 46 mins,66.9 km: 53 mins,503 km: 4 hours 23 mins,68.0 km: 51 mins,325 km: 3 hours 6 mins,148 km: 1 hour 35 mins,272 km: 2 hours 41 mins,582 km: 5 hours 24 mins,374 km: 3 hours 32 mins,573 km: 5 hours 15 mins,388 km: 3 hours 40 mins,523 km: 4 hours 56 mins,327 km: 2 hours 55 mins,259 km: 2 hours 30 mins,270 km: 2 hours 38 mins,395 km: 3 hours 47 mins,24.8 km: 24 mins,NULL,473 km: 4 hours 26 mins,307 km: 2 hours 56 mins,469 km: 4 hours 27 mins,71.8 km: 51 mins,189 km: 1 hour 54 mins,80.5 km: 1 hour 5 mins,468 km: 4 hours 20 mins,32.3 km: 31 mins,269 km: 2 hours 48 mins,436 km: 4 hours 1 min,143 km: 1 hour 29 mins,286 km: 2 hours 36 mins,314 km: 2 hours 50 mins,617 km: 5 hours 22 mins,106 km: 1 hour 11 mins,410 km: 3 hours 50 mins,564 km: 5 hours 17 mins
Furth,455 km: 4 hours 13 mins,601 km: 5 hours 35 mins,174 km: 1 hour 44 mins,400 km: 3 hours 46 mins,218 km: 2 hours 10 mins,215 km: 2 hours 11 mins,442 km: 4 hours 11 mins,430 km: 4 hours 1 min,459 km: 4 hours 21 mins,578 km: 5 hours 18 mins,337 km: 3 hours 3 mins,299 km: 2 hours 45 mins,459 km: 4 hours 22 mins,8.2 km: 17 mins,459 km: 4 hours 15 mins,443 km: 4 hours 10 mins,442 km: 4 hours 8 mins,383 km: 3 hours 36 mins,422 km: 3 hours 55 mins,246 km: 2 hours 23 mins,257 km: 2 hours 31 mins,485 km: 4 hours 30 mins,249 km: 2 hours 22 mins,151 km: 1 hour 54 mins,469 km: 4 hours 25 mins,463 km: 4 hours 21 mins,461 km: 4 hours 19 mins,444 km: 4 hours 14 mins,256 km: 2 hours 21 mins,697 km: 6 hours 22 mins,463 km: 4 hours 23 mins,309 km: 2 hours 51 mins,393 km: 3 hours 31 mins,388 km: 3 hours 41 mins,463 km: 4 hours 15 mins,661 km: 6 hours 12 mins,222 km: 2 hours 12 mins,645 km: 5 hours 42 mins,260 km: 2 hours 29 mins,302 km: 2 hours 56 mins,415 km: 3 hours 51 mins,439 km: 4 hours 12 mins,376 km: 3 hours 32 mins,451 km: 4 hours 17 mins,449 km: 4 hours 10 mins,248 km: 2 hours 23 mins,469 km: 4 hours 38 mins,588 km: 5 hours 40 mins,407 km: 3 hours 45 mins,426 km: 4 hours 4 mins,433 km: 3 hours 50 mins,445 km: 4 hours 12 mins,231 km: 2 hours 14 mins,382 km: 3 hours 38 mins,223 km: 2 hours 18 mins,130 km: 1 hour 20 mins,103 km: 1 hour 6 mins,99.3 km: 1 hour 3 mins,175 km: 1 hour 45 mins,205 km: 1 hour 58 mins,470 km: 4 hours 11 mins,341 km: 3 hours 15 mins,211 km: 2 hours 5 mins,245 km: 2 hours 22 mins,459 km: 4 hours 17 mins,471 km: 4 hours 25 mins,NULL,631 km: 5 hours 45 mins,258 km: 2 hours 29 mins,433 km: 4 hours 4 mins,337 km: 3 hours 12 mins,405 km: 3 hours 53 mins,15.5 km: 15 mins,467 km: 4 hours 22 mins,423 km: 3 hours 59 mins,241 km: 2 hours 14 mins,342 km: 3 hours 15 mins,429 km: 4 hours 3 mins,423 km: 3 hours 59 mins,457 km: 4 hours 2 mins,374 km: 3 hours 30 mins,293 km: 2 hours 46 mins,447 km: 4 hours 12 mins
Bremerhaven,448 km: 4 hours 7 mins,180 km: 1 hour 45 mins,805 km: 7 hours 14 mins,376 km: 3 hours 36 mins,525 km: 4 hours 47 mins,684 km: 6 hours 20 mins,353 km: 3 hours 26 mins,295 km: 2 hours 54 mins,317 km: 3 hours 6 mins,63.1 km: 40 mins,535 km: 4 hours 43 mins,425 km: 3 hours 49 mins,180 km: 1 hour 47 mins,637 km: 5 hours 50 mins,327 km: 3 hours 7 mins,303 km: 2 hours 55 mins,332 km: 3 hours 10 mins,399 km: 3 hours 48 mins,281 km: 2 hours 37 mins,599 km: 5 hours 25 mins,655 km: 5 hours 56 mins,233 km: 2 hours 18 mins,546 km: 4 hours 55 mins,774 km: 7 hours 0 mins,438 km: 4 hours 14 mins,378 km: 3 hours 41 mins,306 km: 2 hours 56 mins,229 km: 2 hours 8 mins,521 km: 4 hours 39 mins,264 km: 2 hours 26 mins,352 km: 3 hours 23 mins,384 km: 3 hours 29 mins,309 km: 2 hours 45 mins,785 km: 7 hours 6 mins,320 km: 3 hours 0 mins,240 km: 2 hours 22 mins,390 km: 4 hours 20 mins,354 km: 3 hours 14 mins,551 km: 5 hours 4 mins,339 km: 3 hours 11 mins,308 km: 2 hours 57 mins,278 km: 2 hours 47 mins,632 km: 6 hours 0 mins,327 km: 3 hours 14 mins,297 km: 2 hours 48 mins,601 km: 5 hours 26 mins,183 km: 1 hour 52 mins,70.7 km: 1 hour 1 min,361 km: 3 hours 21 mins,346 km: 3 hours 23 mins,427 km: 3 hours 44 mins,366 km: 3 hours 35 mins,604 km: 5 hours 27 mins,316 km: 2 hours 54 mins,548 km: 4 hours 59 mins,732 km: 6 hours 29 mins,538 km: 4 hours 51 mins,730 km: 6 hours 32 mins,644 km: 5 hours 55 mins,725 km: 6 hours 28 mins,251 km: 2 hours 17 mins,296 km: 2 hours 45 mins,528 km: 4 hours 49 mins,675 km: 6 hours 8 mins,290 km: 2 hours 47 mins,305 km: 2 hours 57 mins,630 km: 5 hours 43 mins,NULL,727 km: 6 hours 38 mins,338 km: 3 hours 13 mins,480 km: 4 hours 29 mins,362 km: 3 hours 35 mins,619 km: 5 hours 35 mins,336 km: 3 hours 13 mins,560 km: 5 hours 23 mins,495 km: 4 hours 21 mins,381 km: 3 hours 38 mins,210 km: 1 hour 57 mins,237 km: 2 hours 10 mins,541 km: 4 hours 43 mins,398 km: 3 hours 46 mins,690 km: 6 hours 11 mins,844 km: 7 hours 38 mins
Reutlingen,675 km: 6 hours 9 mins,698 km: 6 hours 30 mins,218 km: 2 hours 28 mins,397 km: 3 hours 45 mins,238 km: 2 hours 19 mins,37.7 km: 31 mins,439 km: 4 hours 10 mins,448 km: 4 hours 10 mins,456 km: 4 hours 20 mins,668 km: 6 hours 7 mins,558 km: 5 hours 0 mins,520 km: 4 hours 41 mins,556 km: 5 hours 16 mins,253 km: 2 hours 25 mins,456 km: 4 hours 14 mins,461 km: 4 hours 19 mins,439 km: 4 hours 7 mins,378 km: 3 hours 34 mins,519 km: 4 hours 50 mins,164 km: 1 hour 39 mins,107 km: 1 hour 9 mins,503 km: 4 hours 40 mins,243 km: 2 hours 19 mins,149 km: 1 hour 49 mins,447 km: 4 hours 13 mins,440 km: 4 hours 9 mins,477 km: 4 hours 27 mins,541 km: 5 hours 9 mins,477 km: 4 hours 18 mins,794 km: 7 hours 17 mins,461 km: 4 hours 21 mins,530 km: 4 hours 48 mins,614 km: 5 hours 28 mins,174 km: 2 hours 10 mins,460 km: 4 hours 13 mins,758 km: 7 hours 7 mins,382 km: 3 hours 40 mins,866 km: 7 hours 39 mins,245 km: 2 hours 20 mins,399 km: 3 hours 51 mins,433 km: 4 hours 1 min,477 km: 4 hours 29 mins,247 km: 2 hours 40 mins,449 km: 4 hours 15 mins,467 km: 4 hours 19 mins,166 km: 1 hour 40 mins,556 km: 5 hours 9 mins,658 km: 6 hours 0 mins,405 km: 3 hours 44 mins,423 km: 4 hours 2 mins,654 km: 5 hours 47 mins,441 km: 4 hours 10 mins,149 km: 1 hour 30 mins,479 km: 4 hours 33 mins,208 km: 2 hours 3 mins,342 km: 3 hours 12 mins,190 km: 1 hour 49 mins,223 km: 2 hours 38 mins,96.4 km: 1 hour 7 mins,77.1 km: 1 hour 6 mins,570 km: 5 hours 22 mins,438 km: 4 hours 10 mins,241 km: 2 hours 20 mins,76.3 km: 51 mins,476 km: 4 hours 27 mins,469 km: 4 hours 26 mins,258 km: 2 hours 28 mins,728 km: 6 hours 40 mins,NULL,430 km: 4 hours 2 mins,307 km: 2 hours 58 mins,402 km: 3 hours 51 mins,278 km: 2 hours 35 mins,464 km: 4 hours 20 mins,341 km: 3 hours 16 mins,424 km: 3 hours 59 mins,359 km: 3 hours 24 mins,526 km: 4 hours 58 mins,520 km: 4 hours 53 mins,677 km: 5 hours 58 mins,371 km: 3 hours 28 mins,134 km: 1 hour 22 mins,288 km: 2 hours 48 mins
Remscheid,536 km: 4 hours 52 mins,388 km: 3 hours 34 mins,608 km: 5 hours 32 mins,45.6 km: 38 mins,223 km: 2 hours 13 mins,400 km: 3 hours 49 mins,46.8 km: 44 mins,56.1 km: 40 mins,45.8 km: 45 mins,277 km: 2 hours 36 mins,564 km: 5 hours 3 mins,460 km: 4 hours 8 mins,254 km: 2 hours 21 mins,440 km: 4 hours 9 mins,64.2 km: 48 mins,44.7 km: 36 mins,12.6 km: 24 mins,68.4 km: 49 mins,155 km: 1 hour 29 mins,280 km: 2 hours 41 mins,335 km: 3 hours 12 mins,111 km: 1 hour 9 mins,208 km: 2 hours 0 mins,556 km: 5 hours 16 mins,108 km: 1 hour 15 mins,70.9 km: 1 hour 2 mins,62.6 km: 45 mins,316 km: 2 hours 53 mins,522 km: 4 hours 43 mins,472 km: 4 hours 15 mins,67.8 km: 56 mins,421 km: 3 hours 52 mins,396 km: 3 hours 30 mins,466 km: 4 hours 22 mins,68.0 km: 47 mins,447 km: 4 hours 11 mins,390 km: 3 hours 39 mins,561 km: 5 hours 3 mins,213 km: 2 hours 9 mins,209 km: 2 hours 2 mins,38.8 km: 30 mins,84.9 km: 58 mins,301 km: 3 hours 1 min,56.7 km: 49 mins,50.4 km: 36 mins,282 km: 2 hours 42 mins,164 km: 1 hour 38 mins,266 km: 2 hours 29 mins,30.0 km: 22 mins,14.9 km: 22 mins,514 km: 4 hours 29 mins,48.1 km: 45 mins,285 km: 2 hours 43 mins,145 km: 1 hour 32 mins,233 km: 2 hours 17 mins,542 km: 5 hours 1 min,335 km: 3 hours 9 mins,533 km: 4 hours 51 mins,348 km: 3 hours 16 mins,483 km: 4 hours 33 mins,338 km: 3 hours 2 mins,256 km: 2 hours 27 mins,231 km: 2 hours 14 mins,356 km: 3 hours 23 mins,59.7 km: 43 mins,71.8 km: 51 mins,433 km: 4 hours 2 mins,340 km: 3 hours 12 mins,430 km: 4 hours 3 mins,NULL,149 km: 1 hour 30 mins,31.5 km: 36 mins,428 km: 3 hours 57 mins,72.5 km: 54 mins,229 km: 2 hours 25 mins,433 km: 3 hours 58 mins,125 km: 1 hour 17 mins,297 km: 2 hours 42 mins,325 km: 2 hours 56 mins,628 km: 5 hours 28 mins,66.8 km: 47 mins,370 km: 3 hours 27 mins,524 km: 4 hours 53 mins
Koblenz,606 km: 5 hours 41 mins,528 km: 4 hours 47 mins,510 km: 4 hours 38 mins,115 km: 1 hour 10 mins,125 km: 1 hour 18 mins,278 km: 2 hours 44 mins,152 km: 1 hour 34 mins,196 km: 1 hour 53 mins,174 km: 1 hour 45 mins,416 km: 3 hours 49 mins,526 km: 4 hours 50 mins,450 km: 4 hours 13 mins,394 km: 3 hours 33 mins,341 km: 3 hours 15 mins,173 km: 1 hour 39 mins,185 km: 1 hour 49 mins,157 km: 1 hour 32 mins,83.7 km: 55 mins,295 km: 2 hours 42 mins,150 km: 1 hour 30 mins,206 km: 2 hours 1 min,251 km: 2 hours 22 mins,110 km: 1 hour 6 mins,433 km: 4 hours 11 mins,153 km: 1 hour 34 mins,146 km: 1 hour 30 mins,195 km: 1 hour 53 mins,394 km: 3 hours 52 mins,453 km: 4 hours 13 mins,612 km: 5 hours 28 mins,168 km: 1 hour 42 mins,456 km: 4 hours 18 mins,481 km: 4 hours 34 mins,343 km: 3 hours 17 mins,177 km: 1 hour 38 mins,587 km: 5 hours 24 mins,316 km: 3 hours 5 mins,701 km: 6 hours 16 mins,99.8 km: 1 hour 4 mins,252 km: 2 hours 34 mins,179 km: 1 hour 43 mins,225 km: 2 hours 11 mins,200 km: 1 hour 56 mins,166 km: 1 hour 40 mins,190 km: 1 hour 48 mins,150 km: 1 hour 31 mins,303 km: 2 hours 51 mins,406 km: 3 hours 42 mins,122 km: 1 hour 9 mins,141 km: 1 hour 28 mins,584 km: 5 hours 18 mins,147 km: 1 hour 31 mins,171 km: 1 hour 43 mins,285 km: 2 hours 44 mins,134 km: 1 hour 23 mins,444 km: 4 hours 6 mins,236 km: 2 hours 14 mins,435 km: 3 hours 57 mins,225 km: 2 hours 11 mins,361 km: 3 hours 28 mins,423 km: 4 hours 5 mins,291 km: 2 hours 53 mins,132 km: 1 hour 20 mins,233 km: 2 hours 18 mins,200 km: 1 hour 56 mins,187 km: 1 hour 51 mins,335 km: 3 hours 8 mins,480 km: 4 hours 24 mins,307 km: 2 hours 58 mins,148 km: 1 hour 28 mins,NULL,119 km: 1 hour 16 mins,330 km: 3 hours 2 mins,182 km: 1 hour 45 mins,128 km: 1 hour 20 mins,358 km: 3 hours 24 mins,107 km: 1 hour 29 mins,378 km: 3 hours 41 mins,373 km: 3 hours 36 mins,646 km: 5 hours 49 mins,88.1 km: 54 mins,248 km: 2 hours 22 mins,402 km: 3 hours 48 mins
Bergisch_Gladbach,558 km: 5 hours 13 mins,411 km: 3 hours 55 mins,580 km: 5 hours 21 mins,18.0 km: 26 mins,196 km: 2 hours 1 min,372 km: 3 hours 38 mins,48.9 km: 48 mins,79.0 km: 1 hour 1 min,66.2 km: 58 mins,299 km: 2 hours 57 mins,568 km: 5 hours 13 mins,483 km: 4 hours 29 mins,277 km: 2 hours 42 mins,412 km: 3 hours 58 mins,66.0 km: 52 mins,67.6 km: 57 mins,49.3 km: 45 mins,40.7 km: 37 mins,178 km: 1 hour 50 mins,253 km: 2 hours 30 mins,308 km: 3 hours 0 mins,134 km: 1 hour 30 mins,180 km: 1 hour 49 mins,528 km: 5 hours 5 mins,93.1 km: 1 hour 9 mins,69.5 km: 1 hour 4 mins,87.5 km: 1 hour 5 mins,339 km: 3 hours 14 mins,495 km: 4 hours 36 mins,495 km: 4 hours 36 mins,69.6 km: 59 mins,444 km: 4 hours 13 mins,419 km: 3 hours 51 mins,438 km: 4 hours 10 mins,69.8 km: 51 mins,470 km: 4 hours 32 mins,358 km: 3 hours 28 mins,584 km: 5 hours 24 mins,185 km: 1 hour 58 mins,232 km: 2 hours 23 mins,61.7 km: 51 mins,108 km: 1 hour 19 mins,273 km: 2 hours 49 mins,58.6 km: 53 mins,73.3 km: 57 mins,254 km: 2 hours 30 mins,187 km: 1 hour 59 mins,289 km: 2 hours 50 mins,11.3 km: 20 mins,33.4 km: 40 mins,537 km: 4 hours 50 mins,52.6 km: 48 mins,257 km: 2 hours 31 mins,168 km: 1 hour 53 mins,205 km: 2 hours 6 mins,514 km: 4 hours 49 mins,307 km: 2 hours 57 mins,505 km: 4 hours 40 mins,320 km: 3 hours 5 mins,456 km: 4 hours 21 mins,361 km: 3 hours 23 mins,279 km: 2 hours 48 mins,203 km: 2 hours 3 mins,328 km: 3 hours 12 mins,82.6 km: 1 hour 4 mins,79.4 km: 1 hour 4 mins,405 km: 3 hours 51 mins,363 km: 3 hours 33 mins,402 km: 3 hours 52 mins,30.9 km: 36 mins,122 km: 1 hour 18 mins,NULL,401 km: 3 hours 45 mins,74.4 km: 58 mins,202 km: 2 hours 13 mins,400 km: 3 hours 47 mins,82.5 km: 57 mins,320 km: 3 hours 3 mins,348 km: 3 hours 17 mins,651 km: 5 hours 49 mins,39.1 km: 36 mins,343 km: 3 hours 15 mins,497 km: 4 hours 42 mins
Erlangen,448 km: 4 hours 8 mins,591 km: 5 hours 27 mins,189 km: 1 hour 47 mins,395 km: 3 hours 42 mins,212 km: 2 hours 6 mins,236 km: 2 hours 18 mins,436 km: 4 hours 7 mins,425 km: 3 hours 56 mins,454 km: 4 hours 17 mins,567 km: 5 hours 10 mins,330 km: 2 hours 59 mins,293 km: 2 hours 40 mins,449 km: 4 hours 14 mins,17.9 km: 26 mins,453 km: 4 hours 11 mins,438 km: 4 hours 5 mins,437 km: 4 hours 4 mins,378 km: 3 hours 32 mins,412 km: 3 hours 47 mins,267 km: 2 hours 29 mins,278 km: 2 hours 37 mins,481 km: 4 hours 25 mins,244 km: 2 hours 18 mins,191 km: 1 hour 58 mins,464 km: 4 hours 20 mins,457 km: 4 hours 17 mins,456 km: 4 hours 15 mins,434 km: 4 hours 6 mins,249 km: 2 hours 16 mins,686 km: 6 hours 14 mins,457 km: 4 hours 18 mins,302 km: 2 hours 47 mins,386 km: 3 hours 26 mins,409 km: 3 hours 47 mins,457 km: 4 hours 10 mins,651 km: 6 hours 5 mins,209 km: 2 hours 3 mins,639 km: 5 hours 38 mins,255 km: 2 hours 25 mins,292 km: 2 hours 48 mins,410 km: 3 hours 47 mins,429 km: 4 hours 4 mins,389 km: 3 hours 39 mins,446 km: 4 hours 12 mins,444 km: 4 hours 6 mins,268 km: 2 hours 30 mins,458 km: 4 hours 30 mins,577 km: 5 hours 32 mins,402 km: 3 hours 41 mins,421 km: 4 hours 0 mins,426 km: 3 hours 46 mins,440 km: 4 hours 8 mins,252 km: 2 hours 21 mins,372 km: 3 hours 30 mins,217 km: 2 hours 14 mins,123 km: 1 hour 15 mins,97.4 km: 1 hour 2 mins,114 km: 1 hour 6 mins,196 km: 1 hour 52 mins,226 km: 2 hours 5 mins,463 km: 4 hours 6 mins,331 km: 3 hours 7 mins,205 km: 2 hours 0 mins,266 km: 2 hours 29 mins,453 km: 4 hours 13 mins,465 km: 4 hours 21 mins,16.0 km: 18 mins,621 km: 5 hours 37 mins,279 km: 2 hours 36 mins,428 km: 3 hours 59 mins,331 km: 3 hours 7 mins,399 km: 3 hours 48 mins,NULL,462 km: 4 hours 17 mins,395 km: 4 hours 4 mins,234 km: 2 hours 10 mins,337 km: 3 hours 10 mins,418 km: 3 hours 55 mins,413 km: 3 hours 51 mins,450 km: 3 hours 57 mins,368 km: 3 hours 25 mins,313 km: 2 hours 52 mins,467 km: 4 hours 19 mins
Moers,556 km: 5 hours 3 mins,386 km: 3 hours 36 mins,642 km: 5 hours 50 mins,74.4 km: 54 mins,257 km: 2 hours 30 mins,434 km: 4 hours 7 mins,42.2 km: 32 mins,66.1 km: 53 mins,30.8 km: 28 mins,275 km: 2 hours 38 mins,584 km: 5 hours 25 mins,480 km: 4 hours 30 mins,275 km: 2 hours 32 mins,474 km: 4 hours 27 mins,10.3 km: 15 mins,47.0 km: 40 mins,64.1 km: 45 mins,102 km: 1 hour 7 mins,176 km: 1 hour 40 mins,314 km: 2 hours 59 mins,369 km: 3 hours 29 mins,109 km: 1 hour 10 mins,242 km: 2 hours 18 mins,589 km: 5 hours 34 mins,110 km: 1 hour 13 mins,48.2 km: 39 mins,39.7 km: 32 mins,337 km: 3 hours 4 mins,542 km: 5 hours 5 mins,470 km: 4 hours 17 mins,22.1 km: 21 mins,441 km: 4 hours 14 mins,416 km: 3 hours 41 mins,500 km: 4 hours 39 mins,22.1 km: 18 mins,446 km: 4 hours 13 mins,410 km: 4 hours 1 min,560 km: 5 hours 5 mins,247 km: 2 hours 27 mins,229 km: 2 hours 24 mins,91.9 km: 1 hour 2 mins,105 km: 1 hour 9 mins,333 km: 3 hours 18 mins,25.2 km: 27 mins,50.3 km: 37 mins,316 km: 3 hours 0 mins,162 km: 1 hour 40 mins,264 km: 2 hours 31 mins,64.0 km: 40 mins,61.2 km: 47 mins,535 km: 4 hours 40 mins,38.7 km: 32 mins,319 km: 3 hours 1 min,165 km: 1 hour 54 mins,267 km: 2 hours 35 mins,576 km: 5 hours 18 mins,369 km: 3 hours 26 mins,567 km: 5 hours 9 mins,382 km: 3 hours 34 mins,517 km: 4 hours 50 mins,359 km: 3 hours 13 mins,276 km: 2 hours 49 mins,264 km: 2 hours 32 mins,390 km: 3 hours 41 mins,56.3 km: 41 mins,31.6 km: 31 mins,467 km: 4 hours 20 mins,338 km: 3 hours 13 mins,464 km: 4 hours 21 mins,70.0 km: 57 mins,183 km: 1 hour 48 mins,74.9 km: 59 mins,462 km: 4 hours 14 mins,NULL,234 km: 2 hours 39 mins,453 km: 4 hours 20 mins,158 km: 1 hour 35 mins,318 km: 2 hours 53 mins,345 km: 3 hours 7 mins,648 km: 5 hours 39 mins,101 km: 1 hour 5 mins,404 km: 3 hours 44 mins,558 km: 5 hours 11 mins
